,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Fuel_Tank_Capacity,Fuel_Type,Height,Mileage,Length,Width,Body_Type,Doors,Kerb_Weight,Gears,Power,Speedometer,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Audiosystem,Basic_Warranty,Bluetooth,CD_/_MP3_/_DVD_Player,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Airbags,Parking_Assistance,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
17,Renault,Kwid,Climber 1.0 Mt,454490,999.0,3.0,4.0,28.0,Petrol,1490.0,,3731,1579.0,Hatchback,5.0,669.0,5,68,Digital,5.0,Fabric,Manual,2422.0,165/70 R14,CD Player with USB & Aux-in,2,Yes,,,,Yes,Driver frontal airbag,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,53,42,28,29,35
18,Renault,Kwid,Rxt Amt 1.0,463290,999.0,3.0,4.0,28.0,Petrol,1490.0,,3731,1579.0,Hatchback,5.0,669.0,,68,Digital,5.0,Fabric,Automatic,2422.0,165/70 R14,CD/MP3/DVD Player with USB & Aux-in,,Yes,Yes,,,Yes,Driver frontal airbag,1,0,2,13,106,116,68,84,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Renault,Kwid,Climber Amt 1.0,484490,999.0,3.0,4.0,28.0,Petrol,1490.0,,3731,1579.0,Hatchback,5.0,669.0,,68,Digital,5.0,Fabric,Automatic,2422.0,165/70 R14,CD/MP3/DVD Player with USB & Aux-in,,Yes,Yes,,,Yes,Driver frontal airbag,1,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0
20,Renault,Kwid,Rxt (O) 1.0,440990,999.0,3.0,4.0,28.0,Petrol,1490.0,,3731,1579.0,Hatchback,5.0,669.0,5,68,Digital,5.0,Fabric,Manual,2422.0,165/70 R14,CD Player with USB & Aux-in,2,Yes,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,0,0,0,0,0,0,0,0,0,25,103,445,548,483,503,0,0,0,0,0
21,Renault,Kwid,Rxt (O) Amt 1.0,470990,999.0,3.0,4.0,28.0,Petrol,1490.0,,3731,1579.0,Hatchback,5.0,669.0,5,68,Digital,5.0,Fabric,Automatic,2422.0,165/70 R14,CD Player with USB & Aux-in,2,Yes,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,676,1392,1427,1849,159,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0
22,Renault,Kwid,Climber (O) Mt 1.0,462190,999.0,3.0,4.0,28.0,Petrol,1490.0,,3731,1579.0,Hatchback,5.0,669.0,5,68,Digital,5.0,Fabric,Manual,2422.0,165/70 R14,CD Player with USB & Aux-in,2,Yes,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,524,564,834,1486,2763,3019,3206,3242,3721,6026,2084,0,0,0,0,0,0,0,0,0
23,Renault,Kwid,Climber (O) Amt 1.0,492190,999.0,3.0,4.0,28.0,Petrol,1490.0,,3731,1579.0,Hatchback,5.0,669.0,,68,Digital,5.0,Fabric,Automatic,2422.0,165/70 R14,CD/MP3/DVD Player with USB & Aux-in,,Yes,Yes,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,0,0,0,0,0,0,0,0,0,12,116,174,734,800,480,427,206,0,0,0
24,Maruti Suzuki,Eeco,5 Str,352136,1196.0,4.0,4.0,40.0,Petrol,1800.0,13.5,3675,1475.0,MPV,5.0,920.0,5,73,Analog,5.0,Fabric,Manual,2350.0,155 R13 LT,Not on offer,2,,,,,Yes,Driver frontal airbag,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,50,73,118,143
25,Maruti Suzuki,Eeco,7 Str,380573,1196.0,4.0,4.0,40.0,Petrol,1800.0,13.5,3675,1475.0,MPV,5.0,940.0,5,74,Analog,7.0,Fabric,Manual,2350.0,155 R13 LT,Not on offer,2,,,,,Yes,Driver frontal airbag,1,0,36,378,706,1444,1592,1734,1801,2521,3188,3977,4797,19,0,0,0,0,0,0,0
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,392967,1196.0,4.0,4.0,40.0,Petrol,1800.0,13.0,3675,1475.0,MPV,5.0,928.0,5,73,Analog,5.0,Fabric,Manual,2350.0,155 R13 LT,Not on offer,2,,,,,,,0,0,0,0,0,0,0,0,1,0,19,103,114,518,497,9,47,53,62,69,184
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,466057,1196.0,4.0,4.0,40.0,CNG,1800.0,,3675,1475.0,MPV,5.0,1050.0,5,62,Analog,5.0,Fabric,Manual,2350.0,155 R13 LT,Not on offer,2,,,,,Yes,Driver frontal airbag,1,679,1159,1023,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Maruti Suzuki,Eeco,5 Str With Htr Cng,425255,1196.0,4.0,4.0,40.0,CNG,1800.0,,3675,1475.0,MPV,5.0,1030.0,5,62,Analog,5.0,Fabric,Manual,2350.0,155 R13 LT,Not on offer,2,,,,,Yes,Driver frontal airbag,1,102,149,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Maruti Suzuki,Alto K10,Lxi,377588,998.0,3.0,4.0,35.0,Petrol,1475.0,15.5,3545,1490.0,Hatchback,5.0,745.0,5,68,Analog,5.0,Fabric,Manual,2360.0,155/65R13,Not on offer,2,,,,,Yes,Driver frontal airbag,0,0,0,0,0,0,0,12,12,45,61,4,0,0,0,0,0,0,0,0,0
30,Maruti Suzuki,Alto K10,Vxi,394036,998.0,3.0,4.0,35.0,Petrol,1475.0,15.5,3545,1490.0,Hatchback,5.0,750.0,5,68,Analog,5.0,Fabric,Manual,2360.0,155/65R13,CD/MP3 Player,2,,Yes,,,Yes,Driver frontal airbag,0,150,326,404,667,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Maruti Suzuki,Alto K10,Lx,360843,998.0,3.0,4.0,35.0,Petrol,1475.0,1213.0,3545,1490.0,Hatchback,5.0,740.0,5,68,Analog,5.0,Fabric,Manual,2360.0,155/65R13,Not on offer,2,,,,,Yes,Driver frontal airbag,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,Maruti Suzuki,Alto K10,Vxi (O),407238,998.0,3.0,4.0,35.0,Petrol,1460.0,15.5,3620,1475.0,Hatchback,5.0,755.0,5,68,Analog,5.0,Fabric,Manual,2360.0,155/65R13,Not on offer,2,,Yes,,,,Driver frontal airbag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,163,193,234
33,Maruti Suzuki,Alto K10,Lxi Cng (O),439777,998.0,3.0,4.0,35.0,CNG,1475.0,,3545,1490.0,Hatchback,5.0,740.0,5,59,Analog,5.0,Fabric,Manual,2360.0,155/65R13,Not on offer,,,,,,,Driver frontal airbag,0,0,0,0,28,140,24,111,149,64,75,158,215,399,550,510,901,225,0,0,0
34,Maruti Suzuki,Alto K10,Vxi Amt (O),438559,998.0,3.0,4.0,35.0,Petrol,1475.0,15.5,3545,1490.0,Hatchback,5.0,755.0,5,68,Analog,5.0,Fabric,Automatic,2360.0,155/65R13,CD Player with USB & Aux-in,,,Yes,,,,Driver frontal airbag,0,0,0,0,0,11,159,57,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Datsun,Go,D,374990,1198.0,3.0,4.0,35.0,Petrol,1507.0,,3788,1636.0,Hatchback,5.0,864.0,5,68,Analog,5.0,Fabric,Manual,2450.0,155/70R13,Not on offer,2,,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,202,287,52,0,0,0,0,1,100,124,149,151,75,3,0,0,0,0,0,0
36,Datsun,Go,T,468229,1198.0,3.0,4.0,35.0,Petrol,1507.0,,3788,1636.0,Hatchback,5.0,864.0,5,68,Analog,5.0,Fabric,Manual,2450.0,155/70R13,USB & Aux-in,2,,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,15,38,35,48,46,94,86,97,63,112,130,0,0,0,0,0,0,0,0,0
37,Datsun,Go,T (O),502492,1198.0,3.0,4.0,35.0,Petrol,1507.0,,3788,1636.0,Hatchback,5.0,864.0,5,68,Analog,5.0,Fabric,Manual,2450.0,155/70R13,USB & Aux-in,2,,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,0,37,140,181,134,173,88,6,0,0,0,0,3,49,24,54,6,1,1,0
38,Datsun,Go,A (O),499990,1198.0,3.0,4.0,35.0,Petrol,1507.0,,3788,1636.0,Hatchback,5.0,864.0,5,68,Analog,5.0,Fabric,Manual,2450.0,155/70R13,Not on offer,2,,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,191,688,421,243,334,310,301,278,278,241,285,417,526,753,967,90,0,0,1,0
39,Datsun,Go,A,469990,1198.0,3.0,4.0,35.0,Petrol,1507.0,,3788,1636.0,Hatchback,5.0,864.0,5,68,Analog,5.0,Fabric,Manual,2450.0,155/70R13,Not on offer,2,,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,0,0,0,0,0,0,0,3,94,77,0,0,0,0,0,0,0,0,0,0
40,Datsun,Go,T Vdc,528464,1198.0,3.0,4.0,35.0,Petrol,1507.0,,3788,1636.0,Hatchback,5.0,864.0,5,68,Analog,5.0,Fabric,Manual,2450.0,155/70R13,USB & Aux-in,2,,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,13292,19976,19038,21212,24047,22789,22709,22405,18743,16721,1451,0,0,0,0,0,0,0,0,0
41,Datsun,Go,T (O) Vdc,553015,1198.0,3.0,4.0,35.0,Petrol,1507.0,,3788,1636.0,Hatchback,5.0,864.0,5,68,Analog,5.0,Fabric,Manual,2450.0,155/70R13,USB & Aux-in,2,,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,2046,1877,2392,1938
