,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Fuel_Tank_Capacity,Fuel_Type,Height,Mileage,Length,Width,Body_Type,Doors,Kerb_Weight,Gears,Power,Speedometer,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Audiosystem,Basic_Warranty,Bluetooth,CD_/_MP3_/_DVD_Player,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Airbags,Parking_Assistance,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
13,Renault,Kwid,Std 0.8,283290.0,799.0,3.0,4.0,28.0,Petrol,1490.0,744.9869706840391,3731.0,1579.0,Hatchback,5.0,669.0,5,54,Digital,5.0,Fabric,Manual,2442.0,165/70 R14,Not on offer,2,,,,,Yes,Driver frontal airbag,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Renault,Kwid,Rxl 0.8,383290.0,799.0,3.0,4.0,28.0,Petrol,1490.0,744.9869706840391,3731.0,1579.0,Hatchback,5.0,669.0,5,54,Digital,5.0,Fabric,Manual,2422.0,165/70 R14,CD Player with USB & Aux-in,2,Yes,Yes,,,Yes,Driver frontal airbag,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,268.0,744.0,652.0,497.0,473.0,377.0,466.0,339.0,140.0
15,Renault,Kwid,Rxt 0.8,413290.0,799.0,3.0,4.0,28.0,Petrol,1490.0,744.9869706840391,3731.0,1580.0,Hatchback,5.0,669.0,5,54,Digital,5.0,Fabric,Manual,2422.0,165/70 R14,CD Player with USB & Aux-in,2,Yes,Yes,,,Yes,Driver frontal airbag,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,21.0,312.0,383.0,373.0,286.0,215.0
16,Renault,Kwid,Rxt 1.0,433290.0,999.0,3.0,4.0,28.0,Petrol,1490.0,744.9869706840391,3731.0,1579.0,Hatchback,5.0,669.0,5,68,Digital,5.0,Fabric,Manual,2422.0,165/70 R14,CD Player with USB & Aux-in,2,Yes,,,,Yes,Driver frontal airbag,1,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,517.0,813.0,1104.0,1218.0,1407.0,564.0,1.0,0.0,0.0,0.0,0.0
17,Renault,Kwid,Climber 1.0 Mt,454490.0,999.0,3.0,4.0,28.0,Petrol,1490.0,744.9869706840391,3731.0,1579.0,Hatchback,5.0,669.0,5,68,Digital,5.0,Fabric,Manual,2422.0,165/70 R14,CD Player with USB & Aux-in,2,Yes,,,,Yes,Driver frontal airbag,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,53.0,42.0,28.0,29.0,35.0
18,Renault,Kwid,Rxt Amt 1.0,463290.0,999.0,3.0,4.0,28.0,Petrol,1490.0,744.9869706840391,3731.0,1579.0,Hatchback,5.0,669.0,,68,Digital,5.0,Fabric,Automatic,2422.0,165/70 R14,CD/MP3/DVD Player with USB & Aux-in,,Yes,Yes,,,Yes,Driver frontal airbag,1,0.0,2.0,13.0,106.0,116.0,68.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Renault,Kwid,Climber Amt 1.0,484490.0,999.0,3.0,4.0,28.0,Petrol,1490.0,744.9869706840391,3731.0,1579.0,Hatchback,5.0,669.0,,68,Digital,5.0,Fabric,Automatic,2422.0,165/70 R14,CD/MP3/DVD Player with USB & Aux-in,,Yes,Yes,,,Yes,Driver frontal airbag,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Renault,Kwid,Rxt (O) 1.0,440990.0,999.0,3.0,4.0,28.0,Petrol,1490.0,744.9869706840391,3731.0,1579.0,Hatchback,5.0,669.0,5,68,Digital,5.0,Fabric,Manual,2422.0,165/70 R14,CD Player with USB & Aux-in,2,Yes,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,103.0,445.0,548.0,483.0,503.0,0.0,0.0,0.0,0.0,0.0
21,Renault,Kwid,Rxt (O) Amt 1.0,470990.0,999.0,3.0,4.0,28.0,Petrol,1490.0,744.9869706840391,3731.0,1579.0,Hatchback,5.0,669.0,5,68,Digital,5.0,Fabric,Automatic,2422.0,165/70 R14,CD Player with USB & Aux-in,2,Yes,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,676.0,1392.0,1427.0,1849.0,159.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
22,Renault,Kwid,Climber (O) Mt 1.0,462190.0,999.0,3.0,4.0,28.0,Petrol,1490.0,744.9869706840391,3731.0,1579.0,Hatchback,5.0,669.0,5,68,Digital,5.0,Fabric,Manual,2422.0,165/70 R14,CD Player with USB & Aux-in,2,Yes,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,524.0,564.0,834.0,1486.0,2763.0,3019.0,3206.0,3242.0,3721.0,6026.0,2084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Renault,Kwid,Climber (O) Amt 1.0,492190.0,999.0,3.0,4.0,28.0,Petrol,1490.0,744.9869706840391,3731.0,1579.0,Hatchback,5.0,669.0,,68,Digital,5.0,Fabric,Automatic,2422.0,165/70 R14,CD/MP3/DVD Player with USB & Aux-in,,Yes,Yes,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,116.0,174.0,734.0,800.0,480.0,427.0,206.0,0.0,0.0,0.0
24,Maruti Suzuki,Eeco,5 Str,352136.0,1196.0,4.0,4.0,40.0,Petrol,1800.0,13.5,3675.0,1475.0,MPV,5.0,920.0,5,73,Analog,5.0,Fabric,Manual,2350.0,155 R13 LT,Not on offer,2,,,,,Yes,Driver frontal airbag,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,50.0,73.0,118.0,143.0
25,Maruti Suzuki,Eeco,7 Str,380573.0,1196.0,4.0,4.0,40.0,Petrol,1800.0,13.5,3675.0,1475.0,MPV,5.0,940.0,5,74,Analog,7.0,Fabric,Manual,2350.0,155 R13 LT,Not on offer,2,,,,,Yes,Driver frontal airbag,1,0.0,36.0,378.0,706.0,1444.0,1592.0,1734.0,1801.0,2521.0,3188.0,3977.0,4797.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,392967.0,1196.0,4.0,4.0,40.0,Petrol,1800.0,13.0,3675.0,1475.0,MPV,5.0,928.0,5,73,Analog,5.0,Fabric,Manual,2350.0,155 R13 LT,Not on offer,2,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,103.0,114.0,518.0,497.0,9.0,47.0,53.0,62.0,69.0,184.0
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,466057.0,1196.0,4.0,4.0,40.0,CNG,1800.0,744.9869706840391,3675.0,1475.0,MPV,5.0,1050.0,5,62,Analog,5.0,Fabric,Manual,2350.0,155 R13 LT,Not on offer,2,,,,,Yes,Driver frontal airbag,1,679.0,1159.0,1023.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Maruti Suzuki,Eeco,5 Str With Htr Cng,425255.0,1196.0,4.0,4.0,40.0,CNG,1800.0,744.9869706840391,3675.0,1475.0,MPV,5.0,1030.0,5,62,Analog,5.0,Fabric,Manual,2350.0,155 R13 LT,Not on offer,2,,,,,Yes,Driver frontal airbag,1,102.0,149.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Maruti Suzuki,Alto K10,Lxi,377588.0,998.0,3.0,4.0,35.0,Petrol,1475.0,15.5,3545.0,1490.0,Hatchback,5.0,745.0,5,68,Analog,5.0,Fabric,Manual,2360.0,155/65R13,Not on offer,2,,,,,Yes,Driver frontal airbag,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,45.0,61.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
