2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
568,170,871,1016,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,331,1875,2856,1837,1485,3298,5973,5507,6507,6524,6208,7497,8371,3190,4047,5527,5827,5115,3606
145,216,334,110,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2716,4003,1836,3992,6977,7105,590,368,133,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,5,29,40,61,73,106,90,106,134,193
0,0,0,0,0,0,0,0,0,1,5,10,14,28,21,0,0,11,8,12
436,387,526,545,342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,3,16,28,0,0,0,0,0,0,0
699,835,600,619,808,774,713,683,704,517,477,403,821,1242,1033,1157,1111,14,11,10
26,1,56,85,126,163,187,56,0,0,0,0,0,0,0,1,0,0,0,0
29,52,38,72,110,90,81,54,56,81,18,0,0,0,0,0,0,0,0,0
20764,23624,22628,27044,28879,30499,29722,36583,30517,25065,27149,24467,21738,16022,14621,12155,3541,0,0,0
9408,14842,18884,15426,19046,15197,4376,1,0,0,0,0,0,0,0,0,0,0,0,0
19985,25262,25391,30716,32119,32799,34307,37365,37271,33730,32119,28532,31514,38244,29965,21106,17464,17630,13416,9056
4540,10539,15716,17039,18612,18745,13042,1617,0,0,0,0,0,0,0,0,0,0,0,0
8801,15789,19961,15263,15781,17442,16880,15512,15918,14663,10856,9401,9940,11657,10233,7985,5534,4039,3628,2583
227,1035,2288,1296,1834,2018,2077,2130,1707,667,569,645,1206,1323,1569,1457,1290,25,0,0
888,1458,1374,1500,1518,745,951,795,978,985,814,661,824,766,1197,739,445,486,281,393
1864,1209,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204,4596,3491,3056,2131,1879,1205,119,0,0,0,0,0,0,0,0,0,0,0,0
80,248,389,232,447,644,201,0,0,0,0,0,0,0,0,0,0,0,0,0
3350,3921,3998,4477,2724,1498,1755,1591,318,1,0,1,0,0,0,0,0,0,0,0
2636,2604,3010,2807,2358,1502,974,0,0,0,0,0,0,0,0,0,0,0,0,0
1583,561,855,952,777,581,238,630,746,721,623,659,1111,444,299,892,1305,1866,1188,309
1141,1798,2123,1925,1709,1940,996,0,0,0,0,0,0,0,0,0,0,0,0,0
393,611,140,22,404,381,490,571,374,82,11,19,82,225,265,282,1,37,153,233
0,0,57,135,200,203,203,118,47,1,5,14,22,52,100,133,0,0,0,0
7396,13529,14626,13353,12247,4568,7873,7261,5601,6291,5212,464,0,0,0,0,0,0,0,1
3420,6918,4880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7438,15773,8197,7931,8903,7001,6148,7296,7104,4370,1035,1663,2099,3331,4792,4145,3617,2,0,0
1830,3998,2064,2136,2690,2052,741,0,0,0,0,0,0,0,0,0,0,0,0,0
5345,9055,7443,6345,6734,7306,5622,3543,4311,4405,4168,4381,3917,4410,4328,7064,4392,3655,2309,1212
1077,643,2114,1338,1794,1282,1404,1236,1159,809,816,1008,502,1,0,0,0,0,0,0
664,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,60,872,1459
1428,1928,0,134,1197,1561,1884,1582,1896,1885,1953,2433,1769,3172,3025,2139,3109,2585,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,19,59,44,90,56,0,0,0,0,0
0,1,0,0,1,0,0,0,3,0,8,16,9,31,29,21,0,0,0,0
0,1,5,3,6,4,0,0,2,1,4,7,3,17,2,2,8,8,8,2
0,0,0,0,0,0,0,0,0,1,2,8,8,0,0,0,0,0,0,0
0,0,0,0,0,0,132,1475,1798,1504,1951,4605,1295,0,0,0,0,0,0,0
0,29,21,28,4,2,10,24,16,0,2,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,195,1146,1231,1412,2207,1058,1295,444,0,0,0,0,0,0
0,14,12,18,3,4,16,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,554,1522,1925,1382,1032,438,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,12,7,126,53,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9,1398,1910,1252,1077,0,0,0,0
0,0,0,0,0,1,0,0,0,139,349,1032,1130,936,782,465,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1176,5028,3630,3719,2336,1384,0,0,0,0
0,0,0,0,0,0,210,923,2218,1566,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8,880,4208,4202,4300,3871,1,0,0,0,0,0,0,0,0
