,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Fuel_Tank_Capacity,Fuel_Type,Height,Mileage,Length,Width,Body_Type,Doors,Kerb_Weight,Gears,Power,Speedometer,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Audiosystem,Basic_Warranty,Bluetooth,CD_/_MP3_/_DVD_Player,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Airbags,Parking_Assistance,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
12,30.0,69.0,398.0,353290.0,799.0,3.0,4.0,28.0,5.0,1490.0,744.9869706840391,3731.0,1579.0,3.0,5.0,669.0,2.0,6.0,2.0,5.0,0.0,4.0,2422.0,14.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
13,30.0,69.0,461.0,283290.0,799.0,3.0,4.0,28.0,5.0,1490.0,744.9869706840391,3731.0,1579.0,3.0,5.0,669.0,1.0,6.0,2.0,5.0,0.0,4.0,2442.0,14.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
14,30.0,69.0,401.0,383290.0,799.0,3.0,4.0,28.0,5.0,1490.0,744.9869706840391,3731.0,1579.0,3.0,5.0,669.0,1.0,6.0,2.0,5.0,0.0,4.0,2422.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,268.0,744.0,652.0,497.0,473.0,377.0,466.0,339.0,140.0
15,30.0,69.0,407.0,413290.0,799.0,3.0,4.0,28.0,5.0,1490.0,744.9869706840391,3731.0,1580.0,3.0,5.0,669.0,1.0,6.0,2.0,5.0,0.0,4.0,2422.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,21.0,312.0,383.0,373.0,286.0,215.0
16,30.0,69.0,408.0,433290.0,999.0,3.0,4.0,28.0,5.0,1490.0,744.9869706840391,3731.0,1579.0,3.0,5.0,669.0,1.0,13.0,2.0,5.0,0.0,4.0,2422.0,14.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,41.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,517.0,813.0,1104.0,1218.0,1407.0,564.0,1.0,0.0,0.0,0.0,0.0
17,30.0,69.0,210.0,454490.0,999.0,3.0,4.0,28.0,5.0,1490.0,744.9869706840391,3731.0,1579.0,3.0,5.0,669.0,1.0,13.0,2.0,5.0,0.0,4.0,2422.0,14.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,53.0,42.0,28.0,29.0,35.0
18,30.0,69.0,409.0,463290.0,999.0,3.0,4.0,28.0,5.0,1490.0,744.9869706840391,3731.0,1579.0,3.0,5.0,669.0,7.0,13.0,2.0,5.0,0.0,1.0,2422.0,14.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,41.0,1.0,0.0,2.0,13.0,106.0,116.0,68.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,30.0,69.0,211.0,484490.0,999.0,3.0,4.0,28.0,5.0,1490.0,744.9869706840391,3731.0,1579.0,3.0,5.0,669.0,7.0,13.0,2.0,5.0,0.0,1.0,2422.0,14.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,30.0,69.0,405.0,440990.0,999.0,3.0,4.0,28.0,5.0,1490.0,744.9869706840391,3731.0,1579.0,3.0,5.0,669.0,1.0,13.0,2.0,5.0,0.0,4.0,2422.0,14.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,103.0,445.0,548.0,483.0,503.0,0.0,0.0,0.0,0.0,0.0
21,30.0,69.0,406.0,470990.0,999.0,3.0,4.0,28.0,5.0,1490.0,744.9869706840391,3731.0,1579.0,3.0,5.0,669.0,1.0,13.0,2.0,5.0,0.0,1.0,2422.0,14.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,51.0,1.0,676.0,1392.0,1427.0,1849.0,159.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
